,name,avg_pts,cv
199,J.Nelson,6.3352941176470585,0.990445434420031
107,J.Nelson,6.3352941176470585,0.9882597349151719
695,J.Nelson,6.3352941176470585,0.9991015881390215
2275,J.Nelson,6.329411764705883,1.0414804290750483
581,J.Nelson,6.329411764705882,0.9966612245107221
2235,J.Nelson,6.329411764705882,1.0411819846182668
85,J.Nelson,6.329411764705882,0.9880520282672588
309,J.Nelson,6.323529411764706,0.9866280783902066
787,J.Nelson,6.323529411764706,0.9941735480340657
805,J.Nelson,6.323529411764706,0.9952159464060226
765,J.Nelson,6.323529411764705,0.9949550394442448
269,J.Nelson,6.323529411764705,0.986373865811447
234,J.Nelson,6.317647058823529,0.9896906838968047
231,J.Nelson,6.317647058823529,0.9857850210613345
730,J.Nelson,6.317647058823529,0.9983758431128668
727,J.Nelson,6.317647058823529,0.9943668691224703
4171,M.Sanu,6.314117647058822,1.4283024567034959
4206,S.Watkins,6.311764705882354,1.0448169036745756
708,J.Nelson,6.311764705882353,0.9981848834152993
705,J.Nelson,6.311764705882353,0.9941707735006234
209,J.Nelson,6.311764705882353,0.9855781706643564
613,J.Nelson,6.311764705882353,0.9919439177221552
212,J.Nelson,6.311764705882353,0.9894886877170149
2267,J.Nelson,6.311764705882353,1.0360695828479487
131,J.Nelson,6.311764705882353,0.9840831763455317
595,J.Nelson,6.311764705882353,0.990907911088239
117,J.Nelson,6.311764705882353,0.9834084319410291
4202,R.Woods,6.311764705882353,0.8291884722310935
77,J.Nelson,6.311764705882352,0.9831557603804533
573,J.Nelson,6.311764705882352,0.991684611452098
819,J.Nelson,6.305882352941176,0.9894740131643515
2245,J.Nelson,6.305882352941176,1.0359320651525012
797,J.Nelson,6.305882352941175,0.9902487891412767
779,J.Nelson,6.305882352941175,0.9892161583504279
301,J.Nelson,6.305882352941175,0.9817409668462068
451,J.Nelson,6.3,0.9896045935570964
737,J.Nelson,6.294117647058823,0.9894640157290857
255,J.Nelson,6.294117647058823,0.9816183283627724
740,J.Nelson,6.294117647058823,0.9934435106805602
627,J.Nelson,6.294117647058823,0.9862291520508342
258,J.Nelson,6.294117647058823,0.9855035382268059
244,J.Nelson,6.294117647058823,0.984822068579351
241,J.Nelson,6.294117647058823,0.9809448812832021
719,J.Nelson,6.294117647058823,0.9884299868247981
163,J.Nelson,6.294117647058823,0.9794625823721559
722,J.Nelson,6.294117647058823,0.9923969685618809
109,J.Nelson,6.2941176470588225,0.9785430290467048
201,J.Nelson,6.2941176470588225,0.9806926957400501
204,J.Nelson,6.2941176470588225,0.9845668816887424
587,J.Nelson,6.2941176470588225,0.9859728700719685
700,J.Nelson,6.2941176470588225,0.9931815647790619
123,J.Nelson,6.2941176470588225,0.9792115380374232
697,J.Nelson,6.2941176470588225,0.9892052042926175
605,J.Nelson,6.2941176470588225,0.9869991987197372
2755,J.Nelson,6.288235294117648,1.0395655797368613
2277,J.Nelson,6.288235294117648,1.0308520140362605
2259,J.Nelson,6.288235294117648,1.0296806974850388
811,J.Nelson,6.288235294117647,0.9845482646451139
2237,J.Nelson,6.288235294117647,1.0305588101867365
66,J.Nelson,6.2823529411764705,0.9822775642950341
789,J.Nelson,6.2823529411764705,0.9843464301136702
63,J.Nelson,6.2823529411764705,0.9784158969915602
483,J.Nelson,6.2823529411764705,0.9849297678940269
443,J.Nelson,6.28235294117647,0.9846735407034299
287,J.Nelson,6.276470588235294,0.9770079138228421
751,J.Nelson,6.276470588235294,0.9837615966860583
754,J.Nelson,6.276470588235294,0.9876945673500305
290,J.Nelson,6.276470588235294,0.9808601213439505
236,J.Nelson,6.276470588235293,0.9799314370050615
729,J.Nelson,6.276470588235293,0.9845301821357727
233,J.Nelson,6.276470588235293,0.9760901182329182
732,J.Nelson,6.276470588235293,0.9884724151674932
711,J.Nelson,6.276470588235293,0.983505801262476
619,J.Nelson,6.276470588235293,0.9813254547412956
714,J.Nelson,6.276470588235293,0.9874356925278255
247,J.Nelson,6.276470588235293,0.9767573492088317
250,J.Nelson,6.276470588235293,0.9806065819740115
155,J.Nelson,6.276470588235293,0.974621480550247
2291,J.Nelson,6.2705882352941185,1.024645755103493
2787,J.Nelson,6.2705882352941185,1.0344406512363533
4211,T.Ginn,6.270588235294118,1.243088040261318
133,J.Nelson,6.270588235294118,0.9744099208745235
2269,J.Nelson,6.270588235294118,1.0255159218079726
2747,J.Nelson,6.270588235294118,1.0341427062436674
2251,J.Nelson,6.270588235294118,1.0243561913979362
597,J.Nelson,6.270588235294118,0.9811222059733671
98,J.Nelson,6.264705882352941,0.9776543976480224
821,J.Nelson,6.264705882352941,0.9797056722087867
95,J.Nelson,6.264705882352941,0.9738254337603099
190,J.Nelson,6.264705882352941,0.9798184442759943
55,J.Nelson,6.26470588235294,0.9735763766654234
475,J.Nelson,6.26470588235294,0.9800299969071979
781,J.Nelson,6.26470588235294,0.9794520773594231
58,J.Nelson,6.26470588235294,0.9774023919614683
746,J.Nelson,6.258823529411764,0.982764955417084
453,J.Nelson,6.258823529411764,0.9798277479873945
279,J.Nelson,6.258823529411764,0.9721773202456756
282,J.Nelson,6.258823529411764,0.9759940066681286
743,J.Nelson,6.258823529411764,0.978868599771125
2283,J.Nelson,6.252941176470588,1.0193577259390674
147,J.Nelson,6.252941176470588,0.9688594622056798
260,J.Nelson,6.252941176470588,0.9757880025547858
257,J.Nelson,6.252941176470588,0.9719665852699819
2779,J.Nelson,6.252941176470588,1.029055609614305
724,J.Nelson,6.252941176470588,0.9825675051997179
721,J.Nelson,6.252941176470588,0.9786662019598357
629,J.Nelson,6.252941176470588,0.9765016689302591
165,J.Nelson,6.252941176470588,0.969846105683994
643,J.Nelson,6.252941176470588,0.977174787339281
125,J.Nelson,6.252941176470587,0.9695991622513914
4192,P.Richardson,6.252941176470587,1.1318121544566717
589,J.Nelson,6.252941176470587,0.976249607911443
222,J.Nelson,6.247058823529412,0.9752053780925186
2757,J.Nelson,6.247058823529412,1.0289238960851566
2261,J.Nelson,6.247058823529412,1.0192116935094695
90,J.Nelson,6.247058823529411,0.9728097796075659
87,J.Nelson,6.247058823529411,0.9690160176386756
182,J.Nelson,6.247058823529411,0.974953846461789
813,J.Nelson,6.247058823529411,0.9748421170825196
467,J.Nelson,6.241176470588235,0.9742041404027294
485,J.Nelson,6.241176470588235,0.9752110104988391
963,J.Nelson,6.241176470588235,0.982691370753328
65,J.Nelson,6.241176470588235,0.9688039399088212
68,J.Nelson,6.241176470588235,0.9726023938253472
445,J.Nelson,6.241176470588234,0.9749590003224867
179,J.Nelson,6.235294117647059,0.9643315705363757
271,J.Nelson,6.235294117647059,0.9664278606954306
675,J.Nelson,6.235294117647059,0.9725769383714479
274,J.Nelson,6.235294117647059,0.9702054853951598
753,J.Nelson,6.235294117647059,0.974055721832408
756,J.Nelson,6.235294117647059,0.977923862866762
292,J.Nelson,6.235294117647059,0.9712018756870019
770,J.Nelson,6.235294117647059,0.9786037648232586
767,J.Nelson,6.235294117647059,0.9747275821463822
289,J.Nelson,6.235294117647059,0.9674126457145479
716,J.Nelson,6.235294117647058,0.9776692647414977
713,J.Nelson,6.235294117647058,0.9738041321570754
157,J.Nelson,6.235294117647058,0.9650650794546268
252,J.Nelson,6.235294117647058,0.9709524903407053
249,J.Nelson,6.235294117647058,0.9671661672519658
635,J.Nelson,6.235294117647058,0.9723264925316866
139,J.Nelson,6.235294117647058,0.9640874389873233
621,J.Nelson,6.235294117647058,0.971659581674714
2293,J.Nelson,6.229411764705882,1.0142440599900364
2771,J.Nelson,6.229411764705882,1.0226992386840081
2789,J.Nelson,6.229411764705882,1.0238686780571002
2307,J.Nelson,6.229411764705882,1.015004059980012
2253,J.Nelson,6.2294117647058815,1.0139594998118824
214,J.Nelson,6.2294117647058815,0.9703711844260304
2749,J.Nelson,6.2294117647058815,1.0235759421525974
578,J.Nelson,6.223529411764706,0.9753932265045758
995,J.Nelson,6.223529411764706,0.9780394281898399
97,J.Nelson,6.223529411764706,0.9642694260990727
82,J.Nelson,6.223529411764706,0.967045564904405
100,J.Nelson,6.223529411764706,0.9680359809818765
575,J.Nelson,6.223529411764706,0.9715404804566904
192,J.Nelson,6.223529411764706,0.9701646270090586
79,J.Nelson,6.223529411764706,0.9632905143357076
499,J.Nelson,6.223529411764706,0.969624226789096
60,J.Nelson,6.223529411764705,0.9677880917005691
955,J.Nelson,6.223529411764705,0.9777837763794098
459,J.Nelson,6.223529411764705,0.9693751156915444
477,J.Nelson,6.223529411764705,0.9703727139665984
57,J.Nelson,6.223529411764705,0.9640244183983055
802,J.Nelson,6.2176470588235295,0.9739830092907815
799,J.Nelson,6.2176470588235295,0.9701396653108012
2115,J.Nelson,6.2176470588235295,1.011564309812926
306,J.Nelson,6.2176470588235295,0.9656556615146883
303,J.Nelson,6.2176470588235295,0.9619096794002939
762,J.Nelson,6.217647058823529,0.973730046655738
171,J.Nelson,6.217647058823529,0.9595887802931136
759,J.Nelson,6.217647058823529,0.9698896846848253
281,J.Nelson,6.217647058823529,0.962641814454256
667,J.Nelson,6.217647058823529,0.9677588309987889
